sub_project,file,loc,functions,classes,todos
lyion_embedded,lyion_embedded/config.py,25,0,0,0
lyion_embedded,lyion_embedded/sim_db_seed.py,128,1,0,0
lyion_embedded,lyion_embedded/sim_db_integrity.py,71,1,0,0
lyion_embedded,lyion_embedded/sim_db_concurrency.py,143,3,0,0
lyion_embedded,lyion_embedded/sim_i2c_timing.py,39,1,0,0
lyion_embedded,lyion_embedded/sim_bus_occupancy.py,42,1,0,0
lyion_embedded,lyion_embedded/main.py,224,12,0,0
lyion_embedded,lyion_embedded/test_hardware.py,104,4,0,0
lyion_embedded,lyion_embedded/sim_fault_injection.py,45,1,0,0
lyion_embedded,lyion_embedded/database/models.py,88,1,0,0
lyion_embedded,lyion_embedded/database/__init__.py,0,0,0,0
lyion_embedded,lyion_embedded/database/local_db.py,156,18,0,0
lyion_embedded,lyion_embedded/hardware/slots.py,52,0,1,0
lyion_embedded,lyion_embedded/hardware/__init__.py,0,0,0,0
lyion_embedded,lyion_embedded/hardware/gpio_expander.py,132,2,3,0
lyion_embedded,lyion_embedded/hardware/rfid.py,59,0,1,0
lyion_embedded,lyion_embedded/hardware/pogo.py,56,0,1,0
lyion_embedded,lyion_embedded/network/sync.py,86,6,0,0
lyion_embedded,lyion_embedded/network/__init__.py,0,0,0,0
lyion_embedded,lyion_embedded/network/api_client.py,90,9,0,0
lyion_embedded,lyion_embedded/utils/__init__.py,0,0,0,0
lyion_embedded,lyion_embedded/utils/logger.py,36,1,0,0
lyion_backend,lyion_backend/config.py,41,1,4,0
lyion_backend,lyion_backend/models.py,135,1,6,0
lyion_backend,lyion_backend/app.py,40,2,0,0
lyion_backend,lyion_backend/utils/__init__.py,0,0,0,0
lyion_backend,lyion_backend/utils/logger.py,14,1,0,0
lyion_backend,lyion_backend/routes/sync.py,97,5,0,0
lyion_backend,lyion_backend/routes/auth.py,101,6,0,0
lyion_backend,lyion_backend/routes/slots.py,24,3,0,0
lyion_backend,lyion_backend/routes/rental.py,104,4,0,0
lyion_backend,lyion_backend/routes/__init__.py,0,0,0,0
lyion_backend,lyion_backend/routes/admin.py,155,7,0,0
lyion_backend,lyion_backend/services/__init__.py,0,0,0,0
lyion_backend,lyion_backend/services/card_service.py,39,2,0,0
lyion_backend,lyion_backend/services/session_service.py,71,7,0,0
lyion_app,lyion_app/App.js,11,0,0,0
lyion_app,lyion_app/navigation/AppNavigator.js,61,0,0,0
lyion_app,lyion_app/screens/ProfileScreen.js,71,0,0,0
lyion_app,lyion_app/screens/QRScanScreen.js,72,0,0,0
lyion_app,lyion_app/screens/StationScreen.js,95,0,0,0
lyion_app,lyion_app/screens/RentConfirmScreen.js,71,0,0,0
lyion_app,lyion_app/screens/LoginScreen.js,135,0,0,0
lyion_app,lyion_app/screens/ActiveRentalScreen.js,86,0,0,0
lyion_app,lyion_app/components/SlotGrid.js,21,0,0,0
lyion_app,lyion_app/components/SlotCard.js,38,0,0,0
lyion_app,lyion_app/services/auth.js,46,0,0,0
lyion_app,lyion_app/services/api.js,50,0,0,0
